Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,
"J1, J3, J4, J5",TerminalBlock_bornier-2_P5.08mm,4,Screw_Terminal_01x02,
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Ext enable,
K1,Relay_DPDT_Schrack-RT2-FormC-Dual-Coil_RM5mm,1,Relay_DPDT-NO,
Q1,TO-92_Inline,1,BC547,
"R1, R2, R6, R7, R9",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,5,4k7,
R3,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,470k,
R4,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,15k,
R5,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,100k,
R8,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,20M,
RV1,Potentiometer_Bourns_3296W_Vertical,1,2M,
"U1, U3",DIP-4_W7.62mm,2,PC817,
U2,DIP-8_W7.62mm,1,LM358,
