Designator,Mid X,Mid Y,Rotation,Layer
D1,92.5,-126.5,270.0,top
J1,55.4496,-124.225,270.0,top
J3,55.4496,-134.5,270.0,top
J4,55.4496,-144.775,270.0,top
J5,132.525,-125.765,270.0,top
JP1,112.0,-140.015,180.0,top
K1,110.39,-126.25,0.0,top
Q1,117.0,-142.36,180.0,top
R1,68.5,-134.5,180.0,top
R2,68.5,-130.0,180.0,top
R3,102.0,-140.65,90.0,top
R4,84.0,-139.65,90.0,top
R5,107.0,-140.65,270.0,top
R6,68.5,-139.0,0.0,top
R7,79.0,-139.65,270.0,top
R8,128.0,-138.35,180.0,top
R9,128.0,-146.0,0.0,top
RV1,81.99,-123.0,0.0,top
U1,68.5,-123.5,0.0,top
U2,92.18,-142.0,0.0,top
U3,68.5,-145.5,0.0,top
